key,en-US,es-AR,ja-JP
option_menu_fullscreen_label,Full Screen,Pantalla Completa,フルスクリーン
option_menu_borderless_label,Borderless,Sin Bordes,ボーダーレス
option_menu_vsync_label,Vertical Synchronization,Sincronización Vertical,垂直同期
option_menu_master_label,Master,Maestro,マスター
option_menu_sfx_label,SFX,SFX,効果音
option_menu_bgm_label,BGM,BGM,BGM
option_menu_back_button,Back,Volver,戻る
pause_menu_title_label,Pause Menu,Menú de Pausa,ポーズメニュー
pause_menu_button_0,Skills,Habilidades,スキル
pause_menu_button_1,Items,Artículos,アイテム
pause_menu_button_2,Equip,Equipamientos,装備
pause_menu_button_3,Status,Estatus,ステータス
pause_menu_button_4,Options,Opciones,オプション
pause_menu_button_5,Go to Title,Ir al Título,タイトルへ移動
pause_menu_party_members_label,Party Members,Mienbros del Equipo,パーティメンバー
item_menu_cost_label,Cost,Costo,コスト
item_menu_hold_label,Hold,Retenidos,ホールド
item_menu_description_label,Description,Descripción,説明
item_menu_all_items_label,All Items,Todos los artículos,全アイテム
item_menu_consumable_items_label,Consumable Items,Artículos consumibles,消耗品
item_menu_equip_items_label,Equip Items,Artículos de equipamiento,装備アイテム
item_menu_key_items_label,Key Items,Artículos clave,キーアイテム
user_menu_info_label,Information,Información,情報
user_menu_stats_label,Statistics,Estadísticas,統計
user_menu_status_effect_label,Status Effects,Efectos de estado,ステータス効果
user_menu_equip_label,Equip,Equipo,装備
user_menu_equip_slot_label,Slot,Ranura,スロット
user_menu_equip_slot_empty_button,empty,vacio,ヴァシオ
user_menu_skill_label,Skills,Habilidades,スキル
name_key_item_0,Cyber Money,Dinero Cibernético,サイバーマネー
description_key_item_0,Used to buy cyber items,Se usa para comprar objetos cibernéticos.,サイバーアイテムの購入に使用します。
name_skill_0,Attack,Ataque,攻撃
description_skill_0,"* Deals 5 Physical-Normal damage to 1 Enemy
You gain 5 TP","* Hace 5 de daño Físico-Normal a 1 Enemigo.
Ganas 5 TP.","* 敵1体に物理通常ダメージを5与える。
TPを5獲得する。"
name_skill_1,Guard,Guardia,ガード
description_skill_1,"* The user receives half physical damage for 1 turn
You gain 5 TP","* El Usuario recive la mitad de daño Físico por 1 turno.
Ganas 5 TP.","* 使用者は1ターンの間、受ける物理ダメージが半減する。
TPを5獲得する。"
name_party_member_0,Hanabi,Hanabi,ハナビ
title_party_member_0,The mischivious hacher,La hacker traviesa.,いたずら好きなハッカー
description_party_member_0,"* A former member of the Eastern Sisters, a master of hacking.
Her lack of physical strength is compensated by her exceptional skill at dodging","* Una ex-miembro de las hermanas del Este, maestra en el arte del hackeo.
Su falta de fuerza física la compensa con su grán destreza a la hora de esquivar.","* 元イースタン・シスターズのメンバーで、ハッキングの達人
身体能力は劣るものの、卓越した回避能力でそれを補っている。"
name_party_member_1,Bob,Bob,チェリン
title_party_member_1,The crazy monk,El monje loco.,狂った僧侶
description_party_member_1,"* A former member of the Jehovah's Witnesses.
A religion of suicides that they claim grants them superhuman endurance","* Un ex-miembros de los Testigos.
Una religion de suicidas que según ellos les dan resistencia sobrehumana.","* 元エホバの証人。
自殺を信奉する宗教で、自殺によって超人的な耐久力を得るとされている。"
name_party_member_2,Chaser,Chaser,ハンター
title_party_member_2,The cool gunslinger,La pistolera copada,クールなガンマン
description_party_member_2,"* A former member of the special forces.
His exceptional skill with firearms cannot be matched by any cybernetic implant","* Una ex-miembro de las fuerzas especiales.
Su alta destreza con las armas de fuego no se puede alcanzar con ningún implante cibernético.","* 元特殊部隊員。
彼の卓越した銃器の腕前は、いかなるサイバネティック・インプラントをもってしても凌駕できない。"
name_enemy_0,Soldier,Soldado,ソルダード
description_enemy_0,* An moving fortress able to crush any enemy.,* Una fortaleza móvil capaz de aplastar a cualquier enemigo.,あらゆる敵を打ち砕くことができる、移動する要塞。
scene_0_dialogue_0,"* In a distant land, there was a cyber city.","* En una tierra lejana, había una ciudad cibernética.",* 遠い国に、サイバーシティがありました
scene_0_dialogue_1,"* An in that cyber city, there was a girl.","* Y en esa ciudad cibernética, había una chica.",* そのサイバーシティに、一人の少女がいました
scene_0_dialogue_2,"* And that girl, was about to do some cool shit.",* Y esa chica estaba a punto de hacer algo genial.,* そしてその少女は、これから何かすごいことをしようとしていました
merchant_0_name,Merchant's Name,Nombre del Mercante,販売者名
merchant_0_dialogue_0,"* Hello there, would you like to buy something.","* Hola, ¿quieres comprar algo?",* こんにちは、何かお買い求めですか？
merchant_0_dialogue_1,* I don't know man.,"* No sé, tío.",* うーん、どうかな
merchant_0_dialogue_2,"* Come on, it's cheap","* Venga, es barato.",* いいですよ、安いですから
merchant_0_dialogue_3,"* Ok, fine.","* Vale, de acuerdo.",* わかりました
merchant_0_dialogue_4,"* Thanks you, come back again.","* Gracias, vuelve pronto.",* ありがとうございます、またお越しください
merchant_0_dialogue_5,* You are welcome.,* De nada.,* どういたしまして
merchant_0_dialogue_6,"* If you come more ofter, I will give you and discount.","* Si vienes más a menudo, te haré un descuento.",* もっと頻繁にお越しいただければ、割引いたします
merchant_0_dialogue_7,"* Really, awasome.",* ¡Genial!,* 本当ですか、素晴らしい！
battle_menu_button_0,Attack,Ataque,攻撃
battle_menu_button_1,Guard,Defensa,防御
battle_menu_button_2,Skills,Habilidades,スキル
battle_menu_button_3,Items,Objetos,アイテム
battle_menu_button_4,Equip,Equipo,装備
battle_menu_button_5,Status,Estado,ステータス
win_menu_title,You Win,Ganaste,勝利
lose_menu_title,You Lose,Pierdes,敗北
escape_menu_title,Escape?,¿Escapar?,疲労？
escape_menu_button_0,Retry Battle,Reintentar batalla,バトルをやり直す
escape_menu_button_1,Escape Battle,Escapar de batalla,バトルから脱出
escape_menu_button_2,Go to Save Spot,Ir al punto de guardado,セーブポイントへ
